Wall time,Step,Value
1502131378.7311797,0,0.6931867003440857
1502131435.202735,0,0.6946099400520325
1502131436.8402326,1,0.6970603466033936
1502131438.477373,2,0.6931579113006592
1502131440.2268715,3,0.6895050406455994
1502131442.2180464,4,0.6852008700370789
1502131443.912033,5,0.6731923818588257
1502131445.595034,6,0.6512731313705444
1502131447.245535,7,0.6035032272338867
1502131448.8720315,8,0.5676122903823853
1502131450.500206,9,0.46980714797973633
1502131452.2227058,10,0.42148035764694214
1502131453.905706,11,0.49560868740081787
1502131455.4868762,12,0.5015784502029419
1502131457.1988282,13,0.4661489427089691
1502131458.869698,14,0.4330054819583893
1502131460.5001974,15,0.4504101872444153
1502131462.075306,16,0.41212502121925354
1502131463.701727,17,0.43156659603118896
1502131465.4038644,18,0.40926605463027954
1502131467.0197163,19,0.3908234238624573
1502131468.6007228,20,0.3908419907093048
1502131470.1704419,21,0.3922054171562195
1502131471.7374544,22,0.3741792142391205
1502131473.3080387,23,0.3867015540599823
1502131474.8758445,24,0.35540416836738586
1502131476.5085206,25,0.37614965438842773
1502131478.173139,26,0.3080170452594757
1502131479.816403,27,0.33390241861343384
1502131481.392402,28,0.34827977418899536
1502131482.9747763,29,0.28412696719169617
1502131484.547974,30,0.29814115166664124
1502131486.1331522,31,0.35164281725883484
1502131487.763427,32,0.2913227379322052
1502131489.3992045,33,0.27019354701042175
1502131490.9746988,34,0.2556438446044922
1502131492.5910182,35,0.254328191280365
1502131494.1480217,36,0.1662815362215042
1502131495.6770182,37,0.3500440716743469
1502131497.187019,38,0.22744007408618927
1502131498.7895188,39,0.21196700632572174
1502131500.3910184,40,0.23303239047527313
1502131501.986519,41,0.21706236898899078
1502131503.5174215,42,0.2242409884929657
1502131505.1274252,43,0.24856646358966827
1502131506.712922,44,0.1955139935016632
1502131508.306922,45,0.24603842198848724
1502131509.858922,46,0.20334595441818237
1502131511.4644244,47,0.1921699047088623
1502131513.0429215,48,0.23158875107765198
1502131514.6134214,49,0.2284756451845169
1502131516.1364224,50,0.2004483938217163
1502131517.652922,51,0.17843829095363617
1502131519.165922,52,0.24722206592559814
1502131520.7029245,53,0.21178598701953888
1502131522.2329223,54,0.14644846320152283
1502131523.7569218,55,0.18898537755012512
1502131525.2676528,56,0.19403204321861267
1502131526.7816505,57,0.1883244514465332
1502131528.3186514,58,0.13908268511295319
1502131529.8639252,59,0.1582002341747284
1502131531.4519234,60,0.17383699119091034
1502131532.9979239,61,0.16920402646064758
1502131534.5519428,62,0.15352763235569
1502131536.1534424,63,0.2016497701406479
1502131537.7204413,64,0.2547604739665985
1502131539.3324418,65,0.18687158823013306
1502131540.9339428,66,0.20150357484817505
1502131542.453453,67,0.19656476378440857
1502131543.9824524,68,0.18284016847610474
1502131545.5574546,69,0.1948128640651703
1502131547.0854547,70,0.17029432952404022
1502131548.612952,71,0.1556091457605362
1502131550.203459,72,0.17384108901023865
1502131551.1109595,73,0.1374470740556717
1502131552.707459,74,0.16047684848308563
1502131554.3214586,75,0.15075363218784332
1502131555.9149604,76,0.15254807472229004
1502131557.4694622,77,0.14103884994983673
1502131559.021055,78,0.14067448675632477
1502131560.609055,79,0.15787382423877716
1502131562.352057,80,0.19109344482421875
1502131563.9215553,81,0.1379963606595993
1502131565.5425553,82,0.11455109715461731
1502131567.1285546,83,0.12803925573825836
1502131568.6875556,84,0.12618333101272583
1502131570.2055552,85,0.12463448941707611
1502131571.755102,86,0.19577711820602417
1502131573.2821035,87,0.1468695104122162
1502131574.7961018,88,0.14549608528614044
1502131576.309602,89,0.154340922832489
1502131577.8366032,90,0.13166268169879913
1502131579.3549557,91,0.12991927564144135
1502131580.873163,92,0.124843068420887
1502131582.4216654,93,0.1267271339893341
1502131583.9691644,94,0.1037851944565773
