time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.2375	1.39746	5.16293	0.241281	0.206112	radar	4.04698	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4757	1.46301	5.15203	0.253367	0.208334	lidar	0.359051	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.7011	1.56933	4.97518	0.286115	0.237681	radar	2.73912	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.9312	1.61564	4.96166	0.288104	0.226859	lidar	0.48081	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.2113	1.63108	5.05784	0.271323	0.193074	radar	1.68462	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4616	1.68479	5.06091	0.274217	0.185488	lidar	0.151202	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6822	1.7181	4.99132	0.271272	0.173184	radar	0.97731	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.9152	1.78202	4.98386	0.278841	0.172073	lidar	0.139471	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1698	1.9044	5.12294	0.305215	0.188933	radar	1.42084	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.4123	1.95153	5.1115	0.302257	0.175395	lidar	0.276707	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6685	1.98608	5.19328	0.290442	0.150328	radar	1.11977	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8977	2.0874	5.18501	0.310041	0.163622	lidar	0.72537	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1635	2.24652	5.33372	0.345188	0.189609	radar	2.19714	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3952	2.35772	5.32415	0.364241	0.20012	lidar	0.690706	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.5167	2.59437	5.07221	0.449519	0.290923	radar	12.3566	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7502	2.68877	5.07103	0.456642	0.28292	lidar	0.0875787	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9618	2.79614	5.03904	0.471113	0.284503	radar	0.271975	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.185	2.91667	5.04199	0.487098	0.286337	lidar	0.00952808	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4487	2.9999	5.17932	0.475423	0.250789	radar	1.45715	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6725	3.08683	5.15589	0.476258	0.238715	lidar	0.557296	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8866	3.31479	5.27172	0.526925	0.275154	radar	2.92256	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.1058	3.46273	5.2743	0.546725	0.281475	lidar	0.0629224	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.303	3.68283	5.21842	0.600145	0.329281	radar	2.00094	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5166	3.83098	5.21837	0.616274	0.328932	lidar	0.000370678	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7337	3.90939	5.16185	0.606632	0.303469	radar	1.34315	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9478	4.04551	5.15627	0.616853	0.298437	lidar	0.0236281	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1441	4.20231	5.04876	0.64351	0.319676	radar	1.37269	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3393	4.37331	5.05895	0.666387	0.32662	lidar	0.0435934	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5616	4.51947	5.09845	0.672213	0.312975	radar	0.509197	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.75	4.68523	5.09594	0.691219	0.316398	lidar	0.151319	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8887	4.89294	4.90082	0.747907	0.378168	radar	3.75814	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0545	5.09382	4.91989	0.7795	0.390779	lidar	0.144806	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.239	5.20033	4.85231	0.776983	0.371492	radar	1.28316	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3989	5.38999	4.86102	0.803258	0.379067	lidar	0.10684	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5704	5.48207	4.74793	0.799169	0.3621	radar	2.3423	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.738	5.64535	4.74355	0.813838	0.358754	lidar	0.0203063	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8805	5.84734	4.69559	0.850782	0.38546	radar	0.699565	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.031	6.04825	4.71704	0.877454	0.392573	lidar	0.176865	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1793	6.28292	4.79748	0.90908	0.399524	radar	1.08539	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3066	6.51532	4.82891	0.945208	0.41501	lidar	0.247589	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4357	6.74336	4.84597	0.978598	0.428848	radar	0.301859	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5765	6.91157	4.81498	0.988483	0.41803	lidar	0.193007	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7359	7.11513	4.89603	0.992785	0.38977	radar	0.752502	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.8939	7.27867	4.86393	0.994449	0.373095	lidar	0.550304	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9581	7.48839	4.75283	1.04211	0.416111	radar	3.10211	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0597	7.7313	4.78697	1.07609	0.428293	lidar	0.178489	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.1956	7.91353	4.79743	1.07806	0.402873	radar	0.37669	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.293	8.1371	4.80488	1.1042	0.408411	lidar	0.186419	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3848	8.33555	4.81981	1.11651	0.391665	radar	2.10455	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4928	8.51605	4.77799	1.12617	0.382805	lidar	0.477755	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5877	8.70422	4.70561	1.1465	0.392538	radar	0.576631	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
